,record_id,percent_male,percent_female,percent_child
125,45096,4.66,89.64,5.7
126,19340,5.43,69.93,24.64
127,13413,10.07,73.38,16.55
128,53765,3.36,89.92,6.72
129,7132,2.59,90.16,7.25
130,14927,12.38,76.19,11.43
131,25024,4.46,82.59,12.95
132,9805,2.01,89.96,8.03
133,42187,2.01,90.36,7.63
134,4867,7.3,75.84,16.85
135,50676,1.93,92.66,5.41
136,15174,2.26,88.3,9.43
137,25463,8.75,81.88,9.38
138,20057,7.29,84.38,8.33
139,45866,6.08,58.01,35.91
140,41829,7.49,87.17,5.35
141,15543,2.35,84.04,13.62
142,36282,3.78,83.78,12.43
143,43329,5.58,86.8,7.61
144,15411,4.38,79.56,16.06
145,1955,7.61,71.07,21.32
146,55905,3.61,82.99,13.4
147,52538,3.91,86.96,9.13
148,51238,4.29,85.84,9.87
149,42002,6.54,75.7,17.76
150,49471,5.56,53.47,40.97
151,7367,6.44,83.66,9.9
152,34153,2.8,84.58,12.62
153,4934,2.94,90.59,6.47
154,29084,3.7,82.1,14.2
155,21442,6.25,82.29,11.46
156,24907,7.34,85.88,6.78
157,49785,2.87,86.12,11
158,42101,5.1,87.76,7.14
159,42144,23.33,46.67,30
160,42156,21.74,57.25,21.01
161,42260,5.03,63.52,31.45
162,42299,4.66,89.64,5.7
163,42378,3.98,87.06,8.96
164,42464,4.46,75,20.54
165,42594,11.01,62.39,26.61
166,4404,2.26,90.19,7.55
167,38111,4.31,89.47,6.22
168,53638,6.34,87.8,5.85
169,39115,5.6,72.8,21.6
170,9863,9.68,80.65,9.68
171,11902,4.72,89.7,5.58
172,59058,6.76,88.29,4.95
173,23907,3.25,80.52,16.23
174,6698,5.74,81.97,12.3
175,35535,2.73,69.92,27.34
176,43841,8.9,72.6,18.49
177,41743,3.01,82.53,14.46
178,14839,4.26,62.23,33.51
179,30284,3.88,87.86,8.25
180,42268,3.11,74.32,22.57
181,20913,7.89,81.58,10.53
182,14089,3.42,85.62,10.96
183,1516,6.3,88.24,5.46
184,43944,3.2,85.39,11.42
185,56289,3.59,69.74,26.67
186,22604,4.03,86.29,9.68
187,22635,21.69,71.08,7.23
188,22657,16.43,72.46,11.11
189,22700,5.95,77.38,16.67
190,22796,6.44,78.71,14.85
191,22890,7.53,82.26,10.22
192,22943,5.61,81.12,13.27
193,23039,6.78,75.42,17.8
194,21460,7.24,78.29,14.47
195,31667,8.62,78.45,12.93
196,23304,4.94,88.89,6.17
197,11194,4.55,89.39,6.06
198,51278,5.54,84.13,10.33
199,35943,4.82,86.84,8.33
200,3082,2.33,88.33,9.34
201,59510,7.69,78.97,13.33
202,47149,7.14,68.83,24.03
203,56724,4.47,88.62,6.91
204,12408,2.76,88.95,8.29
205,31011,4.84,85.08,10.08
206,35014,6.9,74.48,18.62
207,41191,8.97,77.56,13.46
208,54788,6.75,50.92,42.33
209,31073,3.97,90.48,5.56
210,39519,4.89,87.5,7.61
211,42672,8.92,73.89,17.2
212,53552,5.41,83.24,11.35
213,58069,4.55,90,5.45
214,3258,5.41,87.16,7.43
215,45976,9.09,76.92,13.99
216,58756,7.84,74.51,17.65
217,32262,4.02,87.36,8.62
218,37723,9.38,71.09,19.53
219,39902,3.61,87.55,8.84
220,40386,3.76,85.45,10.8
221,29951,9.66,82.07,8.28
222,35411,5.83,87.92,6.25
223,45116,4.29,69.64,26.07
224,52846,3.4,91.91,4.68
225,5189,4.76,84.13,11.11
226,22366,3.11,84,12.89
227,47338,5.41,85.81,8.78
228,25090,5.51,88.98,5.51
229,14436,3.37,87.27,9.36
230,21572,5.23,83.66,11.11
231,51146,6.19,85.71,8.1
232,9728,5.99,86.64,7.37
233,30275,3.2,70,26.8
234,37866,5.61,86.73,7.65
235,32128,6.19,79.52,14.29
236,7225,4.32,81.48,14.2
237,49912,2.8,72.43,24.77
238,51164,5.52,88.95,5.52
239,4095,5.08,90.62,4.3
240,33927,2.66,82.45,14.89
241,28307,5.49,88.24,6.27
242,57091,5.12,88.58,6.3
243,42439,4.2,85.11,10.69
244,155,5.03,80.4,14.57
245,39160,6.13,80.66,13.21
246,46136,4.91,89.73,5.36
247,27245,5.33,82,12.67
248,42527,8.48,85.45,6.06
249,30484,7.59,85.44,6.96
250,12485,3.98,86.28,9.73
251,3327,6.7,83.93,9.38
252,13412,10.34,75,14.66
253,34715,2.48,90.59,6.93
254,34911,6.86,84.8,8.33
255,19588,3.61,91.24,5.15
256,4494,6.25,79.17,14.58
257,38317,12.1,64.52,23.39
258,9004,8.55,84.21,7.24
259,16099,7.87,80.9,11.24
260,51247,3.56,86.22,10.22
261,29286,7.28,83.01,9.71
262,6635,6.05,82.79,11.16
263,47714,3.94,90.94,5.12
264,14304,8.47,81.92,9.6
265,8758,10,69.23,20.77
266,35917,3.79,78.03,18.18
267,14306,5.47,75,19.53
268,22522,2.48,90.5,7.02
269,45885,3.82,84.73,11.45
270,58671,2.15,85.84,12.02
271,37883,4.81,81.28,13.9
272,37920,4.05,89.6,6.36
273,38001,8.06,84.83,7.11
274,38030,30.53,51.15,18.32
275,38128,4.66,82.38,12.95
276,38149,4.44,84.68,10.89
277,38227,3.47,78.47,18.06
278,38332,2.56,85.13,12.31
279,39858,7.37,85.79,6.84
280,43572,5.49,89.03,5.49
281,32142,8.2,81.97,9.84
282,9704,5.88,85.71,8.4
283,26211,6.9,86.21,6.9
284,32885,5.88,67.87,26.24
285,59231,4.17,52.38,43.45
286,58769,10.85,68.22,20.93
287,46342,5.85,87.77,6.38
288,34781,6.85,54.11,39.04
289,41310,4.62,84.97,10.4
290,41519,6.12,77.96,15.92
291,39897,8.97,77.24,13.79
292,32467,5.59,74.13,20.28
293,53527,3.55,79.29,17.16
294,22021,2.59,79.74,17.67
295,39067,6.78,82.2,11.02
296,16047,3.81,85.24,10.95
297,56846,4.07,85.07,10.86
298,36192,3.73,88.8,7.47
299,34531,3.8,87.5,8.7
300,32111,5.6,67.24,27.16
301,13795,3.95,89.47,6.58
302,13889,5.88,89.41,4.71
303,13932,30.71,59.06,10.24
304,13940,21.54,70.26,8.21
305,14011,4.15,85.28,10.57
306,14107,5.38,84.95,9.68
307,14129,4.12,84.71,11.18
308,14245,4.35,87.92,7.73
309,50042,4.05,71.26,24.7
310,39203,5.36,88.39,6.25
311,22570,5.86,82.43,11.72
312,40707,3.05,88.32,8.63
313,40771,12.57,81.71,5.71
314,40797,24.56,64.33,11.11
315,40863,4.3,89.06,6.64
316,40923,6.74,87.05,6.22
317,40983,4.57,89.5,5.94
318,41066,6.49,78.38,15.14
319,41185,5,90.45,4.55
320,31925,2.5,85.42,12.08
321,33041,8.75,75,16.25
322,10783,3.31,89.26,7.44
323,3304,11.2,70.4,18.4
324,24287,2.84,83.89,13.27
325,49740,7.69,82.84,9.47
326,31429,6.41,86.54,7.05
327,22899,3.12,66.52,30.36
328,55505,11.61,77.68,10.71
329,30833,5.71,81.43,12.86
330,55531,4.08,89.29,6.63
331,44294,5.33,85.33,9.33
332,3434,7.69,79.72,12.59
333,8798,11.11,74.36,14.53
334,35748,4.96,84.73,10.31
335,25392,4.37,78.16,17.48
336,42875,7.53,80.14,12.33
337,3539,3.21,83.97,12.82
338,50482,6.19,87.14,6.67
339,37630,3.01,86.75,10.24
340,53899,7.95,77.84,14.2
341,36493,9.35,66.91,23.74
342,22319,1.98,89.33,8.7
343,7681,2.54,90.86,6.6
344,51708,4.37,88.65,6.99
345,58653,2.37,88.54,9.09
346,28738,7.32,60.98,31.71
347,42867,9.38,79.38,11.25
348,53048,5.26,83.81,10.93
349,3380,7.19,77.78,15.03
350,37362,5.65,87.5,6.85
351,39881,2.87,83.91,13.22
352,36401,8.57,83.57,7.86
353,26868,2.68,81.7,15.62
354,21207,3.87,81.29,14.84
355,50635,5.4,85.25,9.35
356,56799,3.39,85.88,10.73
357,46887,3.7,77.04,19.26
358,20586,3.66,90.58,5.76
359,43141,8.38,82.12,9.5
360,42414,4,87.56,8.44
361,35687,3.5,87.5,9
362,46545,9.91,79.28,10.81
363,20016,4.41,86.76,8.82
364,23695,3.23,80.65,16.13
365,30958,6.98,70.54,22.48
366,20810,2.85,75.2,21.95
367,21392,5.91,82.26,11.83
368,57914,3.17,85.97,10.86
369,45359,5.2,87.73,7.06
370,29407,2.48,92.98,4.55
371,9205,10.94,76.56,12.5
372,33497,5.43,86.96,7.61
373,46123,4.51,78.95,16.54
374,20068,7.56,78.49,13.95
375,59041,3.57,91.67,4.76
376,29696,13.64,74.55,11.82
377,9605,3.6,79.86,16.55
378,5427,6.44,89.27,4.29
379,35867,2.15,87.55,10.3
380,30797,8.91,79.21,11.88
381,21726,4.92,81.15,13.93
382,21717,3.95,76.97,19.08
383,24584,2.58,87.08,10.33
384,51600,8.7,81.74,9.57
385,28802,4.72,80.19,15.09
386,32425,7.56,54.65,37.79
387,26819,11.11,78.7,10.19
388,25631,7.75,71.13,21.13
389,33471,4.48,87.31,8.21
390,42929,4.7,83.76,11.54
391,38931,6.9,56.65,36.45
392,23256,5.26,88.16,6.58
393,20196,6.47,83.53,10
394,59303,5.13,88.46,6.41
395,54528,5.73,66.24,28.03
396,34654,6.62,72.79,20.59
397,37859,11.48,70.49,18.03
398,158,2.86,92.38,4.76
399,11043,6.49,82.7,10.81
400,6599,6.73,87.44,5.83
401,22619,5.7,88.97,5.32
402,39423,9.65,76.32,14.04
403,2839,4.41,90.69,4.9
404,27270,7.91,82.73,9.35
405,55278,9.76,69.11,21.14
406,11764,6.67,85.71,7.62
407,50302,7.38,78.52,14.09
408,10249,2.97,84.65,12.38
409,54432,8.39,80.42,11.19
410,46473,8.11,84.86,7.03
411,24544,4.68,80.7,14.62
412,56714,2.67,82.89,14.44
413,56537,6.51,76.28,17.21
414,39272,3.91,83.48,12.61
415,59085,3.24,90.27,6.49
416,58062,5,90,5
417,23009,5.49,89.02,5.49
418,35373,3.77,90.57,5.66
419,25387,12.07,74.14,13.79
420,40166,4.84,89.52,5.65
421,6454,3.79,91.47,4.74
422,41073,4.58,90.46,4.96
423,20258,2.03,89.43,8.54
424,25730,3.95,91.67,4.39
425,55646,4.69,90.61,4.69
426,33807,4.52,86.43,9.05
427,2385,6.67,83.56,9.78
428,23350,7.64,78.98,13.38
429,37395,4.31,81.34,14.35
430,37471,4.56,84.79,10.65
431,37537,9.04,74.47,16.49
432,37550,20.25,70.55,9.2
433,37610,4.4,79.67,15.93
434,37741,8.82,55.15,36.03
435,37822,5.88,79.41,14.71
436,37830,2.31,85.19,12.5
437,32989,11.02,75.42,13.56
438,10902,4.85,79.39,15.76
439,25687,4.37,86.34,9.29
440,14544,7.25,81.16,11.59
441,58191,4.55,62.73,32.73
442,6695,5.11,81.02,13.87
443,58994,5.34,82.52,12.14
444,32671,5.96,87.66,6.38
445,57254,2.9,86.96,10.14
446,2443,5.13,84.62,10.26
447,53179,4.93,80.28,14.79
448,19371,8.67,83.24,8.09
449,21146,2.94,90.59,6.47
450,30972,6.07,87.04,6.88
451,11818,2.99,87.43,9.58
452,43997,3.95,86.56,9.49
453,33000,3.21,88.76,8.03
454,48801,6.42,81.19,12.39
455,52572,5.8,61.84,32.37
456,18494,5.59,81.37,13.04
457,59264,6.67,78.33,15
458,12429,3.65,82.29,14.06
459,32097,6.85,84.02,9.13
460,30923,2.35,87.45,10.2
461,8479,4.2,90.84,4.96
462,27357,5.13,75.21,19.66
463,34778,2.94,91.18,5.88
464,22192,2.99,78.21,18.8
465,27580,5.65,89.52,4.84
466,23618,5.92,86.98,7.1
467,7699,6.96,77.22,15.82
468,5800,5.16,65.73,29.11
469,32874,6.3,79.53,14.17
470,5039,5.15,63.52,31.33
471,11709,4.76,86.77,8.47
472,35264,8.39,65.81,25.81
473,16703,5,89.62,5.38
474,20764,4,85.33,10.67
475,42373,7.14,80.77,12.09
476,22611,5.38,87.1,7.53
477,57490,6.22,85.06,8.71
478,2557,10.69,74.05,15.27
479,1452,7.89,85.26,6.84
480,34495,2.96,91.12,5.92
481,10544,3.8,83.15,13.04
482,38831,8.49,78.3,13.21
483,5452,6.92,76.73,16.35
484,51627,5.43,87.21,7.36
485,36694,8.82,80.88,10.29
486,30621,3.38,92.41,4.22
487,29875,6.02,72.93,21.05
488,37404,3.01,87.97,9.02
489,24724,4.24,87.27,8.48
490,17336,5.29,90.31,4.41
491,46995,6.01,81.97,12.02
492,25899,4.31,89.02,6.67
493,13845,7.83,86.14,6.02
494,26397,9.03,70.83,20.14
495,33594,6.51,79.88,13.61
496,24756,2.87,85.25,11.89
497,26223,13.89,75.93,10.19
498,19387,4.49,83.27,12.24
499,39911,5.43,89.92,4.65
500,49661,8.72,77.91,13.37
501,23295,6.11,75.57,18.32
502,16229,3.37,84.83,11.8
503,52507,5.53,86.81,7.66
504,24445,2.92,91.25,5.83
505,31635,11.3,73.91,14.78
506,30666,7.1,85.81,7.1
507,37993,7.07,55.98,36.96
508,50169,4.68,87.13,8.19
509,59397,2.4,89.6,8
510,24811,7.73,86.74,5.52
511,3878,3.08,89.23,7.69
512,47684,5.47,84.58,9.95
513,496,2.76,90.78,6.45
514,52672,2.81,92.77,4.42
515,40364,3.37,86.54,10.1
516,47752,8.81,53.46,37.74
517,645,8.52,74.43,17.05
518,16860,8.41,82.24,9.35
519,43703,2.88,83.65,13.46
520,57143,6.73,81.17,12.11
521,49501,3.25,86.36,10.39
522,39863,6.44,88.61,4.95
523,34141,7.1,77.51,15.38
524,34243,8.33,82.14,9.52
525,34314,4,87.6,8.4
526,34450,2.49,92.53,4.98
527,34559,3.32,83.89,12.8
528,34583,10.4,78.71,10.89
529,34600,18.07,70.28,11.65
530,34621,6.07,84.58,9.35
531,11226,7.3,81.75,10.95
532,53580,9.16,81.68,9.16
533,27084,4.59,82.14,13.27
534,5992,9.46,76.35,14.19
535,53,6.74,76.17,17.1
536,15690,7.58,80.3,12.12
537,49537,6.32,65.26,28.42
538,41481,3.83,90.42,5.75
539,54782,2.02,75,22.98
540,38837,4.53,87.65,7.82
541,5227,4.92,80.33,14.75
542,54761,5.42,84.17,10.42
543,57346,4.74,89.33,5.93
544,16557,5.91,82.26,11.83
545,35353,3.63,59.07,37.31
546,14439,6.33,79.75,13.92
547,37814,6.25,65.62,28.12
548,45737,7.38,70.49,22.13
549,28493,5.84,84.05,10.12
550,6751,2.13,86.81,11.06
551,2666,9.27,83.44,7.28
552,42395,5,85.42,9.58
553,51987,5.3,81.06,13.64
554,59512,4.69,89.45,5.86
555,31782,3.76,78.95,17.29
556,30186,4.3,86.56,9.14
557,14442,5.62,83.52,10.86
558,52853,2.38,87.62,10
559,2352,8.88,79.29,11.83
560,16203,3.47,54.17,42.36
561,10824,5.97,75.37,18.66
562,41395,9.77,78.95,11.28
563,33074,4.32,87.77,7.91
564,22068,6.17,82.72,11.11
565,46054,3.88,84.05,12.07
566,12699,3.14,86.79,10.06
567,10262,3.64,82.73,13.64
568,35009,6.67,83.03,10.3
569,58269,3.26,80,16.74
570,7030,3.47,87.28,9.25
571,22970,5.35,83.96,10.7
572,13080,5.13,86.32,8.55
573,48890,5.95,83.33,10.71
574,14355,4.46,82.18,13.37
575,31271,5.58,88.41,6.01
576,5636,5.67,72.34,21.99
577,19231,14.15,75.47,10.38
578,13736,5.48,79.91,14.61
579,50008,3.54,88.89,7.58
580,12936,4.17,84.38,11.46
581,26388,4.49,83.97,11.54
582,59654,3.21,81.82,14.97
583,31398,6.03,89.22,4.74
584,6225,6.19,80.53,13.27
585,33291,3.57,77.86,18.57
586,27235,7.41,83.6,8.99
587,22575,8,69.6,22.4
588,5371,3.57,77.14,19.29
589,22526,5.49,83.92,10.59
590,32964,2.76,68.9,28.35
591,37992,7.21,68.75,24.04
592,32663,6.5,88.5,5
593,21969,11.76,78.99,9.24
594,30829,9.72,77.78,12.5
595,6073,3.07,91.23,5.7
596,27511,4.93,82.06,13
597,42046,5.68,86.9,7.42
598,11205,5.66,86.42,7.92
599,10004,9.82,71.43,18.75
600,10357,8.51,70.92,20.57
601,43345,10,78.33,11.67
602,7151,3.54,92.13,4.33
603,31803,3.52,84.58,11.89
604,10632,6.06,82.58,11.36
605,38924,10.34,55.86,33.79
606,56813,6.44,83.69,9.87
607,37204,1.93,92.28,5.79
608,46626,2.97,88.1,8.92
609,40917,5.42,87.68,6.9
610,44560,2.72,85.87,11.41
611,56490,7.08,80.19,12.74
612,8197,2.78,86.51,10.71
613,51389,3.02,91.96,5.03
614,29654,5.38,66.67,27.96
615,228,3.91,82.12,13.97
616,31446,7.08,73.11,19.81
617,49028,5.98,89.24,4.78
618,3182,8.11,79.46,12.43
619,3209,8.88,60.95,30.18
620,3222,11.18,79.41,9.41
621,3302,5,78.12,16.88
622,3390,3.67,84.86,11.47
623,3407,6.25,71.88,21.88
624,3567,6.45,70.97,22.58
625,3615,8.57,80,11.43
626,39025,8.4,82.44,9.16
627,6310,5.88,82.35,11.76
628,40475,9.38,70.31,20.31
629,29141,3.08,82.05,14.87
630,14185,5.75,83.63,10.62
631,31956,8.05,75.86,16.09
632,266,7.19,72.55,20.26
633,27943,5.46,63.45,31.09
634,8315,8.49,77.36,14.15
635,58154,4.09,88.64,7.27
636,10316,5.5,83,11.5
637,16657,6.45,86.56,6.99
638,40263,2.78,89.35,7.87
639,15497,5.45,78.79,15.76
640,33526,4.8,75.2,20
641,26675,2.98,54.17,42.86
642,8416,6.44,80.69,12.87
643,56337,7.87,79.53,12.6
644,54358,7.03,74.59,18.38
645,34875,9.42,71.01,19.57
646,3475,7.28,81.55,11.17
647,36774,3.74,80.75,15.51
648,8133,8.33,73.33,18.33
649,15529,4.55,84.71,10.74
650,16023,2.48,92.56,4.96
651,14652,2.48,89.26,8.26
652,9014,6.25,84.38,9.38
653,9155,3,80.5,16.5
654,9169,16.52,77.68,5.8
655,9196,18.06,57.41,24.54
656,9231,5.64,88.72,5.64
657,9367,5.06,53.16,41.77
658,9368,2.21,87.45,10.33
659,9501,4.48,82.96,12.56
660,13560,6.58,84.65,8.77
661,1464,7.04,80.9,12.06
662,1521,5.81,86.43,7.75
663,1614,8.11,73.65,18.24
664,1752,3.59,78.44,17.96
665,1788,4.61,84.33,11.06
666,1851,14.47,66.67,18.87
667,1867,12.5,72.02,15.48
668,1911,3.79,85.23,10.98
669,32904,2.76,89.37,7.87
670,23147,6.74,78.65,14.61
671,33297,5.83,60.68,33.5
672,27060,2.91,87.21,9.88
673,40395,10.87,73.19,15.94
674,16598,5.19,72.59,22.22
675,24198,9.86,77.46,12.68
676,54746,5.88,83.19,10.92
677,19720,4.83,82.07,13.1
678,20285,12.5,73.21,14.29
679,46395,5.26,82.46,12.28
680,20018,9.35,75.7,14.95
681,2208,3.12,62.5,34.38
682,57993,10.34,70.69,18.97
683,55704,8.88,81.66,9.47
684,29731,10.07,50.34,39.6
685,49491,3.51,83.33,13.16
686,43948,3.54,81.31,15.15
687,7061,6.54,79.44,14.02
688,29823,4.26,76.06,19.68
689,49409,5.51,87.4,7.09
690,36016,3.76,87.22,9.02
691,10119,6.92,54.62,38.46
692,2535,1.93,90.73,7.34
693,17301,4.9,60.84,34.27
694,17799,8.9,50,41.1
695,41668,6.25,78.12,15.62
696,16225,6.17,87.24,6.58
697,25935,7.43,81.08,11.49
698,20167,8.12,83.75,8.12
699,8237,5.68,86.36,7.95
700,43292,6.67,82.56,10.77
701,33566,7.54,77.89,14.57
702,44477,4.72,83.69,11.59
703,13234,6.42,80.73,12.84
704,20924,3.38,85.14,11.49
705,23705,4.61,82.49,12.9
706,23252,10.91,78.18,10.91
707,36839,6.07,89.47,4.45
708,56400,4.47,91.46,4.07
709,1125,6.58,84.87,8.55
710,50782,3.29,77.63,19.08
711,6544,6.71,85.23,8.05
712,14597,7.91,82.01,10.07
713,25202,8.28,84.62,7.1
714,17691,4.31,85.34,10.34
715,32775,6.41,47.44,46.15
716,59459,3.1,91.86,5.04
717,5133,6.4,82.27,11.33
718,8005,5.88,84.45,9.66
719,27097,6.36,70,23.64
720,25997,6.49,87.01,6.49
721,19503,4.46,81.53,14.01
722,22747,4.55,60.61,34.85
723,37406,6.84,78.95,14.21
724,47590,8.63,71.22,20.14
725,15234,6.22,66.51,27.27
726,21472,6.74,79.21,14.04
727,5848,5.67,89.47,4.86
728,11438,3.09,75.31,21.6
729,32766,6.52,80.43,13.04
730,31543,4.41,76.65,18.94
731,58698,5,73.46,21.54
732,15217,5.58,88.83,5.58
733,4126,4.72,81.13,14.15
734,6112,4.9,70.59,24.51
735,12480,6.01,83.26,10.73
736,607,8.75,73.75,17.5
737,50857,9.4,76.07,14.53
738,54489,8.72,76.51,14.77
739,44215,5.53,87.1,7.37
740,11223,6.9,76.55,16.55
741,51291,5.74,88.04,6.22
742,6166,5.45,87.27,7.27
743,9315,7.04,83.57,9.39
744,17370,10.34,73.28,16.38
745,12808,5.75,84.51,9.73
746,49494,3.64,91.5,4.86
747,42511,2.75,82.57,14.68
748,222,3.17,88.89,7.94
749,30497,5.16,77.42,17.42
750,39750,9.43,81.13,9.43
751,55869,6.45,54.84,38.71
752,34362,4.29,79.29,16.43
753,52082,3.92,86.27,9.8
754,52523,5.29,84.66,10.05
755,57248,7.43,84.65,7.92
756,7214,4.89,83.11,12
757,54422,4.71,89.41,5.88
758,43625,4.12,71.91,23.97
759,23871,4.17,83.8,12.04
760,24016,7.3,55.47,37.23
761,24037,12.69,74.63,12.69
762,24053,12.39,78.76,8.85
763,24144,5.59,59.22,35.2
764,24163,4.92,86.07,9.02
765,24324,6.67,71.52,21.82
766,24352,3.78,89.92,6.3
767,33106,5.02,88.42,6.56
768,42584,4.76,55.56,39.68
769,5976,9.23,74.62,16.15
770,15452,2.65,89.95,7.41
771,54803,4.51,84.96,10.53
772,10801,5.69,82.11,12.2
773,46066,9.85,75,15.15
774,12156,7.44,84.3,8.26
775,10431,2.52,89.08,8.4
776,35833,4.31,73.28,22.41
777,5113,7.55,82.08,10.38
778,51331,9.29,72.14,18.57
779,2686,3.89,83.89,12.22
780,17694,5.44,85.71,8.84
781,8388,3.42,86.32,10.26
782,40673,6.29,61.14,32.57
783,57714,3.95,89.47,6.58
784,58232,4.63,84.94,10.42
785,56441,8.33,78.33,13.33
786,16239,2.53,88.61,8.86
787,20928,6.82,50.76,42.42
788,2851,5.28,86.59,8.13
789,11493,5.68,77.84,16.48
790,41405,4.68,87.23,8.09
791,727,6.7,61.72,31.58
792,17576,4.64,81.44,13.92
793,33191,6.52,59.24,34.24
794,23950,2.31,86.54,11.15
795,48336,3.14,91.93,4.93
796,49564,5.52,86.5,7.98
797,14603,6.88,78.12,15
798,53858,3.75,85.62,10.62
799,12945,4.91,84.91,10.19
800,33485,2.86,81.14,16
801,1159,5.62,86.75,7.63
802,36306,5.66,77.36,16.98
803,17910,4.84,81.72,13.44
804,51,4.13,80.28,15.6
805,14477,6.85,82.19,10.96
806,51958,12,68.8,19.2
807,11834,5.49,61.59,32.93
808,9428,2.99,87.31,9.7
809,26040,7.29,79.69,13.02
810,51186,6.54,80.37,13.08
811,59761,7.14,82.86,10
812,20104,4.24,72.03,23.73
813,12779,4.32,77.78,17.9
814,23281,6.17,81.06,12.78
815,59081,3.27,88.98,7.76
816,33932,2.72,75,22.28
817,36549,5.65,88.31,6.05
818,319,2.97,87.71,9.32
819,13416,9.92,78.51,11.57
820,36696,5.31,89.82,4.87
821,35949,6.37,88.73,4.9
822,37436,4.21,81.58,14.21
823,18810,9.15,73.24,17.61
824,45511,6.67,77.22,16.11
825,35736,4.62,70.77,24.62
826,6147,4.26,85.11,10.64
827,49434,10.43,70.43,19.13
