,crime_id,time_of_incident,loc_id,crime_type,victim_gender
179,C01999,1/10/10 21:00,SoRu36030,public_intoxication,C
180,C02002,1/10/10 23:00,AkRu08240,theft,F
181,C02015,1/11/10 5:00,AkRu06518,vandalism,M
182,C02022,1/11/10 6:00,SoRu36408,theft,F
183,C02026,1/11/10 7:00,HaRu19987,sexual_assault,F
184,C02029,1/11/10 8:00,KiRu28206,vandalism,M
185,C02032,1/11/10 8:00,KiRu28174,murder,F
186,C02051,1/11/10 8:00,SoRu35015,harassment,F
187,C02076,1/11/10 8:00,SoRu37521,public_intoxication,F
188,C02090,1/11/10 11:00,HaRu17857,sexual_assault,F
189,C02095,1/11/10 17:00,AkRu08579,harassment,F
190,C02111,1/11/10 18:00,SoRu38100,murder,F
191,C02117,1/11/10 19:00,AkRu06311,harassment,F
192,C02125,1/11/10 20:00,SoRu34949,harassment,F
193,C02130,1/11/10 21:00,KiRu26411,severe_assault,F
194,C02139,1/11/10 22:00,SoRu35241,public_intoxication,F
195,C02158,1/11/10 22:00,KiRu27277,severe_assault,F
196,C02165,1/11/10 23:00,SoRu35226,sexual_assault,F
197,C02167,1/11/10 23:00,KiRu30119,harassment,F
198,C02169,1/12/10 4:00,AkRu02902,sexual_assault,F
199,C02176,1/12/10 4:00,HaRu17156,theft,M
200,C02184,1/12/10 4:00,KiRu26095,harassment,F
201,C02207,1/12/10 5:00,AkRu02970,public_intoxication,F
202,C02219,1/12/10 6:00,AmAs10319,sexual_assault,F
203,C02222,1/12/10 7:00,AkRu02821,harassment,F
204,C02223,1/12/10 9:00,AkRu02681,harassment,F
205,C02233,1/12/10 9:00,AmAs10878,theft,M
206,C02237,1/12/10 9:00,KiRu26903,sexual_assault,F
207,C02252,1/12/10 9:00,KiRu28710,harassment,M
208,C02271,1/12/10 10:00,SoRu36129,harassment,F
209,C02274,1/12/10 13:00,HaRu17545,sexual_assault,C
210,C02283,1/12/10 14:00,KiRu26776,sexual_assault,F
211,C02302,1/12/10 19:00,AkRu04216,vandalism,C
212,C02319,1/12/10 22:00,AkLu02176,harassment,F
213,C02321,1/12/10 22:00,AkRu02984,harassment,F
214,C02323,1/12/10 23:00,AmRu15242,sexual_assault,M
215,C02338,1/13/10 4:00,AkRu07843,public_intoxication,F
216,C02342,1/13/10 5:00,AkRu04963,theft,F
217,C02366,1/13/10 5:00,KiRu25355,vandalism,F
218,C02373,1/13/10 5:00,AkRu06942,vandalism,F
219,C02376,1/13/10 5:00,KiRu27457,public_intoxication,M
220,C02380,1/13/10 5:00,KiRu26190,vandalism,F
221,C02388,1/13/10 6:00,KiIs23943,harassment,F
222,C02391,1/13/10 6:00,SoRu34912,harassment,F
223,C02398,1/13/10 7:00,AmRu13851,harassment,F
224,C02434,1/13/10 8:00,KiRu27092,severe_assault,M
225,C02446,1/13/10 9:00,KiRu30095,public_intoxication,F
226,C02461,1/13/10 11:00,KiRu27713,public_intoxication,C
227,C02466,1/13/10 16:00,AmAs10265,theft,M
228,C02469,1/13/10 19:00,SoRu35235,harassment,F
229,C02472,1/13/10 19:00,SoRu37328,theft,F
230,C02481,1/13/10 19:00,AmAm09889,harassment,M
231,C02486,1/13/10 20:00,KiRu25650,sexual_assault,F
232,C02494,1/13/10 20:00,AkRu08917,sexual_assault,C
233,C02501,1/13/10 21:00,KiRu28340,severe_assault,M
234,C02506,1/13/10 21:00,AkRu05896,harassment,C
235,C02507,1/13/10 22:00,AmBe11339,vandalism,M
236,C02511,1/13/10 23:00,HaRu19015,sexual_assault,F
237,C02514,1/14/10 5:00,KiRu27585,murder,F
238,C02515,1/14/10 6:00,AkRu04911,murder,C
239,C02517,1/14/10 6:00,HaRu18889,vandalism,F
240,C02566,1/14/10 6:00,SoRu37636,severe_assault,F
241,C02567,1/14/10 7:00,KiRu28880,theft,F
242,C02604,1/14/10 7:00,KiRu25475,harassment,F
243,C02609,1/14/10 7:00,KiRu29489,harassment,F
244,C02624,1/14/10 8:00,HaRu18231,harassment,F
245,C02626,1/14/10 9:00,SoRu39249,harassment,F
246,C02627,1/14/10 11:00,HaRu20866,sexual_assault,F
247,C02638,1/14/10 12:00,HaDe16590,murder,F
248,C02687,1/14/10 12:00,AkRu07812,harassment,F
249,C02690,1/14/10 14:00,KiRu26810,theft,M
250,C02693,1/14/10 15:00,HaRu18687,theft,F
251,C02700,1/14/10 18:00,SoRu37213,harassment,M
252,C02704,1/14/10 20:00,KiRu28023,harassment,F
253,C02748,1/14/10 20:00,AkRu06869,murder,F
254,C02763,1/14/10 20:00,SoRu36580,vandalism,C
255,C02768,1/14/10 23:00,AmRu15285,sexual_assault,M
256,C02782,1/15/10 4:00,HaRu20665,sexual_assault,F
257,C02794,1/15/10 4:00,SoRu36333,severe_assault,M
258,C02803,1/15/10 6:00,HaRu19457,harassment,F
259,C02836,1/15/10 7:00,AkRu05807,harassment,F
260,C02839,1/15/10 7:00,KiRu25792,harassment,F
261,C02841,1/15/10 8:00,KiRu29592,sexual_assault,F
262,C02861,1/15/10 9:00,HaRu17034,theft,M
263,C02863,1/15/10 9:00,HaRu20822,harassment,F
264,C02864,1/15/10 9:00,KiRu30485,murder,F
265,C02885,1/15/10 9:00,HaRu18859,theft,M
266,C02899,1/15/10 11:00,KiRu25391,harassment,M
267,C02900,1/15/10 12:00,SoRu34997,murder,F
268,C02911,1/15/10 13:00,AkRu07048,theft,F
269,C02926,1/15/10 14:00,KiRu29207,harassment,F
270,C02933,1/15/10 15:00,AkRu02984,sexual_assault,F
271,C02975,1/15/10 15:00,HaRu18949,harassment,F
272,C02993,1/15/10 16:00,AkRu08356,harassment,F
273,C02995,1/15/10 16:00,HaRu18949,vandalism,F
274,C03008,1/15/10 16:00,KiMr25227,theft,F
275,C03022,1/15/10 17:00,SoRu35388,sexual_assault,F
276,C03023,1/15/10 18:00,AmAs10453,theft,C
277,C03028,1/15/10 18:00,KiRu27637,harassment,F
278,C03031,1/15/10 19:00,AmAm09889,severe_assault,C
279,C03041,1/15/10 20:00,AkRu03072,harassment,F
280,C03051,1/15/10 20:00,AkLu01838,theft,M
281,C03078,1/15/10 20:00,KiZu31259,harassment,F
282,C03088,1/15/10 20:00,AmAm09741,vandalism,M
283,C03094,1/15/10 21:00,AkRu03478,sexual_assault,C
284,C03103,1/15/10 22:00,KiRu26306,harassment,M
285,C03107,1/15/10 23:00,KiIs23661,murder,F
286,C03113,1/15/10 23:00,AkRu04119,sexual_assault,C
287,C03114,1/15/10 23:00,HaRu18201,murder,F
288,C03115,1/15/10 23:00,AkRu06743,harassment,F
289,C03133,1/16/10 4:00,KiRu27209,harassment,M
290,C03134,1/16/10 4:00,AmAs10454,murder,M
291,C03148,1/16/10 6:00,KiRu27934,sexual_assault,F
292,C03175,1/16/10 7:00,KiRu28745,severe_assault,C
293,C03176,1/16/10 8:00,HaRu19142,severe_assault,M
294,C03195,1/16/10 10:00,HaYa21363,harassment,M
295,C03211,1/16/10 11:00,HaRu18105,theft,F
296,C03232,1/16/10 11:00,KiRu26186,theft,M
297,C03248,1/16/10 13:00,KiZu30839,public_intoxication,F
298,C03254,1/16/10 17:00,KiRu25930,harassment,F
299,C03261,1/16/10 17:00,HaRu17034,harassment,M
300,C03270,1/16/10 18:00,HaRu20489,severe_assault,F
301,C03271,1/16/10 18:00,AmDa11754,theft,M
302,C03322,1/16/10 20:00,KiRu27336,public_intoxication,F
303,C03341,1/16/10 20:00,HaRu17895,theft,F
304,C03342,1/16/10 20:00,SoRu37625,harassment,F
305,C03366,1/16/10 21:00,AkRu06909,murder,F
306,C03371,1/16/10 22:00,SoRu38610,vandalism,M
307,C03377,1/16/10 23:00,AkRu05773,severe_assault,M
308,C03393,1/16/10 23:00,SoRu38005,theft,F
309,C03404,1/16/10 23:00,AkRu08294,vandalism,F
310,C03432,1/17/10 4:00,KiRu27651,theft,F
311,C03445,1/17/10 4:00,AmRu13391,public_intoxication,C
312,C03465,1/17/10 6:00,AkRu07070,harassment,F
313,C03492,1/17/10 6:00,AkRu06088,theft,C
314,C03493,1/17/10 10:00,SoRu36631,harassment,F
315,C03498,1/17/10 12:00,SoRu35083,harassment,F
316,C03510,1/17/10 13:00,SoRu38931,public_intoxication,F
317,C03517,1/17/10 15:00,KiRu26779,vandalism,M
318,C03552,1/17/10 15:00,AmAb09279,public_intoxication,F
319,C03553,1/17/10 16:00,KiHa22786,public_intoxication,F
320,C03564,1/17/10 20:00,HaRu17226,theft,F
321,C03581,1/17/10 20:00,HaRu18569,harassment,F
322,C03594,1/17/10 21:00,HaRu18346,theft,M
323,C03596,1/17/10 21:00,AkRu05088,theft,F
324,C03606,1/17/10 21:00,KiRu28972,public_intoxication,F
325,C03616,1/18/10 4:00,KiZu30864,sexual_assault,F
326,C03625,1/18/10 5:00,AkRu04368,murder,F
327,C03626,1/18/10 7:00,AkRu04412,sexual_assault,F
328,C03647,1/18/10 9:00,HaRu19548,murder,C
329,C03677,1/18/10 10:00,KiZu31337,public_intoxication,M
330,C03681,1/18/10 11:00,KiHa23404,harassment,F
331,C03691,1/18/10 14:00,AmPw12447,murder,M
332,C03696,1/18/10 14:00,AkRu06872,theft,C
333,C03739,1/18/10 14:00,AkRu05839,theft,C
334,C03742,1/18/10 15:00,KiRu28936,sexual_assault,F
335,C03748,1/18/10 15:00,AmAs10043,theft,M
336,C03757,1/18/10 15:00,SoRu38731,harassment,F
337,C03768,1/18/10 19:00,AmRu14745,murder,M
338,C03773,1/18/10 21:00,KiZu30800,vandalism,F
339,C03779,1/18/10 22:00,KiRu29698,sexual_assault,F
340,C03789,1/18/10 22:00,AmDa11554,public_intoxication,C
341,C03813,1/18/10 22:00,SoRu38140,harassment,F
342,C03818,1/18/10 22:00,HaAm15937,public_intoxication,F
343,C03829,1/18/10 23:00,KiMr24603,sexual_assault,F
344,C03839,1/19/10 4:00,AmAb09272,severe_assault,M
345,C03844,1/19/10 6:00,AkRu07724,sexual_assault,F
346,C03857,1/19/10 6:00,SoRu38776,harassment,F
347,C03860,1/19/10 7:00,KiRu29571,theft,F
348,C03865,1/19/10 10:00,AkRu04899,vandalism,M
349,C03881,1/19/10 10:00,SoRu37771,harassment,C
350,C03904,1/19/10 12:00,AkRu03939,harassment,F
351,C03915,1/19/10 17:00,AkRu08310,theft,M
352,C03924,1/19/10 17:00,KiRu30541,harassment,F
353,C03938,1/19/10 19:00,SoRu38245,harassment,C
354,C03951,1/19/10 22:00,AkRu03117,harassment,F
355,C03952,1/19/10 22:00,HaRu20085,sexual_assault,F
356,C03954,1/19/10 22:00,AkRu06267,harassment,F
357,C03958,1/20/10 4:00,AmRu14672,severe_assault,F
358,C03964,1/20/10 4:00,AmRu13920,sexual_assault,F
359,C03978,1/20/10 7:00,HaRu19793,harassment,F
360,C03987,1/20/10 8:00,KiRu30325,theft,F
361,C03995,1/20/10 8:00,AkRu02767,theft,F
362,C04005,1/20/10 9:00,HaRu19752,murder,F
363,C04019,1/20/10 9:00,HaRu20055,harassment,F
364,C04036,1/20/10 11:00,KiRu30119,theft,C
365,C04040,1/20/10 14:00,KiRu25556,public_intoxication,C
366,C04054,1/20/10 14:00,SoRu37771,theft,F
367,C04061,1/20/10 15:00,SoRu35641,harassment,F
368,C04066,1/20/10 16:00,SoRu36587,sexual_assault,F
369,C04072,1/20/10 17:00,AmRu14067,theft,M
370,C04083,1/20/10 18:00,SoRu39515,theft,F
371,C04087,1/20/10 18:00,KiRu26701,sexual_assault,F
372,C04101,1/20/10 20:00,AmDa11822,severe_assault,M
373,C04106,1/20/10 20:00,HaRu20366,harassment,F
374,C04109,1/20/10 21:00,HaRu20791,sexual_assault,F
375,C04118,1/20/10 22:00,KiRu28176,theft,C
376,C04120,1/20/10 22:00,AmAs10236,sexual_assault,F
377,C04146,1/20/10 22:00,HaRu19015,theft,F
378,C04177,1/20/10 23:00,KiRu25591,harassment,F
379,C04194,1/21/10 4:00,AmDa11754,public_intoxication,M
380,C04201,1/21/10 6:00,SoRu36526,sexual_assault,F
381,C04203,1/21/10 6:00,KiZu31330,murder,F
382,C04205,1/21/10 9:00,KiRu29479,harassment,F
383,C04245,1/21/10 9:00,KiZu30859,sexual_assault,F
384,C04252,1/21/10 13:00,KiIs24119,harassment,F
385,C04265,1/21/10 13:00,KiIs23820,theft,F
386,C04273,1/21/10 13:00,HaRu18736,sexual_assault,F
387,C04293,1/21/10 14:00,AmBe11237,sexual_assault,M
388,C04306,1/21/10 19:00,SoRu37007,vandalism,C
389,C04312,1/21/10 19:00,KiRu27986,sexual_assault,F
390,C04314,1/21/10 19:00,AkRu03058,harassment,F
391,C04322,1/21/10 19:00,KiRu29861,harassment,F
392,C04332,1/21/10 22:00,HaRu17211,murder,F
393,C04335,1/21/10 22:00,AmDa12124,sexual_assault,M
394,C04339,1/21/10 23:00,KiZu31371,vandalism,M
395,C04346,1/21/10 23:00,AmRu13391,theft,M
396,C04348,1/21/10 23:00,HaDj16832,sexual_assault,F
397,C04355,1/22/10 4:00,KiRu26760,severe_assault,M
398,C04374,1/22/10 4:00,AmAb09293,public_intoxication,M
399,C04387,1/22/10 4:00,KiRu30009,theft,F
400,C04388,1/22/10 4:00,AkRu05717,sexual_assault,F
401,C04389,1/22/10 5:00,KiAm22229,harassment,F
402,C04401,1/22/10 5:00,KiRu29967,harassment,F
403,C04415,1/22/10 5:00,KiRu29282,public_intoxication,M
404,C04429,1/22/10 7:00,KiRu26110,theft,F
405,C04457,1/22/10 7:00,AkRu08091,harassment,C
406,C04482,1/22/10 7:00,HaDe16367,theft,F
407,C04488,1/22/10 8:00,KiRu26954,harassment,F
408,C04492,1/22/10 8:00,HaRu18962,theft,F
409,C04498,1/22/10 9:00,AmAm09406,severe_assault,F
410,C04522,1/22/10 10:00,AmRu14530,harassment,M
411,C04535,1/22/10 10:00,SoRu36839,public_intoxication,F
412,C04546,1/22/10 10:00,AkRu03398,public_intoxication,F
413,C04554,1/22/10 13:00,HaRu20024,vandalism,C
414,C04564,1/22/10 13:00,AmAb09260,public_intoxication,M
415,C04566,1/22/10 15:00,KiZu30841,harassment,F
416,C04570,1/22/10 15:00,AkRu05088,harassment,F
417,C04574,1/22/10 16:00,KiRu25722,harassment,F
418,C04588,1/22/10 17:00,AmAs10124,theft,M
419,C04600,1/22/10 19:00,AmRu14368,public_intoxication,M
420,C04601,1/22/10 19:00,AmAs10266,harassment,M
421,C04604,1/22/10 20:00,AkRu03343,sexual_assault,F
422,C04605,1/22/10 20:00,SoRu39089,severe_assault,C
423,C04607,1/22/10 20:00,KiRu26902,harassment,F
424,C04628,1/22/10 20:00,HaRu20166,vandalism,F
425,C04633,1/22/10 21:00,AkRu08016,public_intoxication,F
426,C04642,1/22/10 21:00,AkRu08111,sexual_assault,F
427,C04645,1/22/10 22:00,SoRu37585,harassment,F
428,C04660,1/22/10 22:00,SoRu39089,harassment,F
429,C04676,1/22/10 22:00,KiRu28677,public_intoxication,M
430,C04678,1/22/10 23:00,HaRu17943,theft,F
431,C04681,1/22/10 23:00,SoRu39107,sexual_assault,F
432,C04686,1/22/10 23:00,AkLu02104,sexual_assault,F
433,C04691,1/22/10 23:00,AmBe11154,harassment,F
434,C04694,1/22/10 23:00,HaRu17308,harassment,C
435,C04698,1/23/10 4:00,KiRu29517,theft,F
436,C04724,1/23/10 4:00,AkRu08590,harassment,C
437,C04731,1/23/10 4:00,SoRu37452,severe_assault,C
438,C04740,1/23/10 5:00,AkRu07635,theft,F
439,C04779,1/23/10 6:00,SoRu38005,harassment,F
440,C04782,1/23/10 7:00,KiZu31340,harassment,F
441,C04784,1/23/10 7:00,SoRu37313,vandalism,F
442,C04798,1/23/10 8:00,AkRu03691,sexual_assault,F
443,C04803,1/23/10 8:00,KiRu25447,severe_assault,C
444,C04810,1/23/10 9:00,AmRu14067,harassment,M
445,C04827,1/23/10 9:00,KiZu31038,vandalism,F
446,C04843,1/23/10 9:00,AmPw12361,sexual_assault,C
447,C04857,1/23/10 9:00,AkLu01605,public_intoxication,F
448,C04861,1/23/10 11:00,AkRu04776,theft,M
449,C04864,1/23/10 12:00,KiRu26777,theft,M
450,C04869,1/23/10 13:00,KiRu29631,severe_assault,F
451,C04889,1/23/10 14:00,SoMa34088,theft,C
452,C04896,1/23/10 15:00,AmRu13549,severe_assault,M
453,C04900,1/23/10 16:00,KiRu28051,severe_assault,F
454,C04905,1/23/10 17:00,KiRu28618,vandalism,F
455,C04917,1/23/10 18:00,SoRu39249,severe_assault,F
456,C04923,1/23/10 18:00,HaRu19102,harassment,M
457,C04940,1/23/10 19:00,SoKo33479,theft,F
458,C04951,1/23/10 19:00,HaRu20784,public_intoxication,M
459,C04953,1/23/10 19:00,SoRu35260,theft,F
460,C04984,1/23/10 19:00,KiRu29201,severe_assault,M
461,C04987,1/23/10 20:00,HaRu18878,theft,M
462,C05025,1/23/10 20:00,AmPw12447,harassment,M
463,C05026,1/23/10 20:00,HaRu18105,theft,M
464,C05029,1/23/10 21:00,KiRu26943,sexual_assault,M
465,C05051,1/23/10 22:00,HaRu17818,severe_assault,F
466,C05058,1/23/10 23:00,KiRu29331,severe_assault,M
