source_id,type_of_water_source,number_of_people_served,priority_status
AkHa00074224,tap_in_home_broken,322,CRITICAL
AkHa00075224,tap_in_home_broken,358,CRITICAL
AkHa00076224,well,298,HIGH (Requires Pollution Check)
AkHa00077224,well,262,HIGH (Requires Pollution Check)
AkHa00078224,tap_in_home_broken,612,CRITICAL
AkHa00079224,tap_in_home,332,STANDARD
AkHa00080224,tap_in_home,880,STANDARD
AkHa00081224,well,318,HIGH (Requires Pollution Check)
AkHa00082224,tap_in_home_broken,322,CRITICAL
AkHa00083224,tap_in_home_broken,744,CRITICAL
AkHa00084224,shared_tap,322,STANDARD
AkHa00085224,well,346,HIGH (Requires Pollution Check)
AkHa00086224,well,206,HIGH (Requires Pollution Check)
AkHa00087224,well,288,HIGH (Requires Pollution Check)
AkHa00088224,well,354,HIGH (Requires Pollution Check)
AkHa00089224,well,268,HIGH (Requires Pollution Check)
AkHa00090224,shared_tap,308,STANDARD
AkHa00091224,well,350,HIGH (Requires Pollution Check)
AkHa00092224,well,166,HIGH (Requires Pollution Check)
AkHa00093224,well,324,HIGH (Requires Pollution Check)
AkHa00094224,tap_in_home,672,STANDARD
AkHa00095224,tap_in_home_broken,654,CRITICAL
AkHa00096224,well,184,HIGH (Requires Pollution Check)
AkHa00097224,tap_in_home,538,STANDARD
AkHa00098224,well,390,HIGH (Requires Pollution Check)
AkHa00099224,tap_in_home,306,STANDARD
AkHa00100224,tap_in_home_broken,504,CRITICAL
AkHa00101224,tap_in_home_broken,332,CRITICAL
AkHa00102224,tap_in_home,690,STANDARD
AkHa00103224,shared_tap,3340,STANDARD
AkHa00104224,tap_in_home_broken,398,CRITICAL
AkHa00105224,well,324,HIGH (Requires Pollution Check)
AkHa00106224,well,190,HIGH (Requires Pollution Check)
AkHa00107224,tap_in_home_broken,370,CRITICAL
AkHa00108224,well,272,HIGH (Requires Pollution Check)
AkHa00109224,tap_in_home,444,STANDARD
AkHa00110224,well,392,HIGH (Requires Pollution Check)
AkHa00111224,tap_in_home,638,STANDARD
AkHa00112224,tap_in_home,454,STANDARD
AkHa00113224,well,208,HIGH (Requires Pollution Check)
AkHa00114224,tap_in_home,502,STANDARD
AkHa00115224,tap_in_home,554,STANDARD
AkHa00116224,tap_in_home_broken,378,CRITICAL
AkHa00117224,well,228,HIGH (Requires Pollution Check)
AkHa00118224,well,344,HIGH (Requires Pollution Check)
AkHa00119224,well,390,HIGH (Requires Pollution Check)
AkHa00120224,tap_in_home_broken,668,CRITICAL
AkHa00121224,well,190,HIGH (Requires Pollution Check)
AkHa00122224,tap_in_home,920,STANDARD
AkHa00123224,well,396,HIGH (Requires Pollution Check)
AkHa00124224,well,240,HIGH (Requires Pollution Check)
AkHa00125224,well,242,HIGH (Requires Pollution Check)
AkHa00126224,well,314,HIGH (Requires Pollution Check)
AkHa00127224,tap_in_home,366,STANDARD
AkHa00128224,well,356,HIGH (Requires Pollution Check)
AkHa00129224,well,346,HIGH (Requires Pollution Check)
AkHa00130224,well,318,HIGH (Requires Pollution Check)
AkHa00131224,tap_in_home_broken,930,CRITICAL
AkHa00132224,well,286,HIGH (Requires Pollution Check)
AkHa00133224,well,388,HIGH (Requires Pollution Check)
AkHa00134224,well,316,HIGH (Requires Pollution Check)
AkHa00135224,well,268,HIGH (Requires Pollution Check)
AkHa00136224,well,380,HIGH (Requires Pollution Check)
AkHa00137224,shared_tap,3198,STANDARD
AkHa00138224,tap_in_home_broken,418,CRITICAL
AkHa00139224,well,394,HIGH (Requires Pollution Check)
AkHa00140224,tap_in_home,570,STANDARD
AkHa00141224,well,228,HIGH (Requires Pollution Check)
AkHa00142224,tap_in_home_broken,422,CRITICAL
AkHa00143224,well,244,HIGH (Requires Pollution Check)
AkHa00144224,tap_in_home,404,STANDARD
AkHa00145224,tap_in_home_broken,684,CRITICAL
AkHa00146224,tap_in_home,636,STANDARD
AkHa00147224,tap_in_home,544,STANDARD
AkHa00148224,well,206,HIGH (Requires Pollution Check)
AkHa00149224,well,324,HIGH (Requires Pollution Check)
AkHa00150224,well,338,HIGH (Requires Pollution Check)
AkHa00151224,well,258,HIGH (Requires Pollution Check)
AkHa00152224,well,336,HIGH (Requires Pollution Check)
AkHa00153224,well,374,HIGH (Requires Pollution Check)
AkHa00154224,well,188,HIGH (Requires Pollution Check)
AkHa00155224,well,388,HIGH (Requires Pollution Check)
AkHa00156224,well,248,HIGH (Requires Pollution Check)
AkHa00157224,well,228,HIGH (Requires Pollution Check)
AkHa00158224,shared_tap,2056,STANDARD
AkHa00159224,tap_in_home_broken,890,CRITICAL
AkHa00160224,well,344,HIGH (Requires Pollution Check)
AkHa00161224,tap_in_home,726,STANDARD
AkHa00162224,tap_in_home,792,STANDARD
AkHa00163224,well,388,HIGH (Requires Pollution Check)
AkHa00164224,tap_in_home_broken,732,CRITICAL
AkHa00165224,tap_in_home_broken,996,CRITICAL
AkHa00166224,tap_in_home_broken,522,CRITICAL
AkHa00167224,well,176,HIGH (Requires Pollution Check)
AkHa00168224,tap_in_home_broken,830,CRITICAL
AkHa00169224,tap_in_home,618,STANDARD
AkHa00170224,tap_in_home_broken,992,CRITICAL
AkHa00171224,tap_in_home,492,STANDARD
AkHa00172224,well,398,HIGH (Requires Pollution Check)
AkHa00173224,tap_in_home,838,STANDARD
AkHa00174224,well,360,HIGH (Requires Pollution Check)
AkHa00175224,well,280,HIGH (Requires Pollution Check)
AkHa00176224,tap_in_home,750,STANDARD
AkHa00177224,well,270,HIGH (Requires Pollution Check)
AkHa00178224,tap_in_home_broken,528,CRITICAL
AkHa00179224,well,210,HIGH (Requires Pollution Check)
AkHa00180224,river,638,CRITICAL
AkHa00181224,well,388,HIGH (Requires Pollution Check)
AkHa00182224,well,204,HIGH (Requires Pollution Check)
AkHa00183224,tap_in_home,922,STANDARD
AkHa00184224,well,388,HIGH (Requires Pollution Check)
AkHa00185224,well,256,HIGH (Requires Pollution Check)
AkHa00186224,well,214,HIGH (Requires Pollution Check)
AkHa00187224,well,276,HIGH (Requires Pollution Check)
AkHa00188224,river,676,CRITICAL
AkHa00189224,well,234,HIGH (Requires Pollution Check)
AkHa00190224,tap_in_home,516,STANDARD
AkHa00191224,tap_in_home,666,STANDARD
AkHa00192224,tap_in_home,772,STANDARD
AkHa00193224,tap_in_home_broken,600,CRITICAL
AkHa00194224,well,378,HIGH (Requires Pollution Check)
AkHa00195224,tap_in_home_broken,608,CRITICAL
AkHa00196224,well,276,HIGH (Requires Pollution Check)
AkHa00197224,well,222,HIGH (Requires Pollution Check)
AkHa00198224,well,398,HIGH (Requires Pollution Check)
AkHa00199224,well,282,HIGH (Requires Pollution Check)
AkHa00200224,tap_in_home,858,STANDARD
AkHa00201224,tap_in_home,622,STANDARD
AkHa00202224,shared_tap,1600,STANDARD
AkHa00203224,tap_in_home,748,STANDARD
AkHa00204224,well,372,HIGH (Requires Pollution Check)
AkHa00205224,well,254,HIGH (Requires Pollution Check)
AkHa00206224,well,230,HIGH (Requires Pollution Check)
AkHa00207224,well,184,HIGH (Requires Pollution Check)
AkHa00208224,well,174,HIGH (Requires Pollution Check)
AkHa00209224,tap_in_home,584,STANDARD
AkHa00210224,well,178,HIGH (Requires Pollution Check)
AkHa00211224,tap_in_home,546,STANDARD
AkHa00212224,well,308,HIGH (Requires Pollution Check)
AkHa00213224,tap_in_home_broken,730,CRITICAL
AkHa00214224,tap_in_home_broken,374,CRITICAL
AkHa00215224,well,324,HIGH (Requires Pollution Check)
AkHa00216224,tap_in_home,312,STANDARD
AkHa00217224,well,304,HIGH (Requires Pollution Check)
AkHa00218224,tap_in_home,342,STANDARD
AkHa00219224,well,378,HIGH (Requires Pollution Check)
AkHa00220224,tap_in_home,820,STANDARD
AkHa00221224,tap_in_home,634,STANDARD
AkHa00222224,well,310,HIGH (Requires Pollution Check)
AkHa00223224,well,314,HIGH (Requires Pollution Check)
AkHa00224224,tap_in_home,504,STANDARD
AkHa00225224,well,336,HIGH (Requires Pollution Check)
AkHa00226224,well,242,HIGH (Requires Pollution Check)
AkHa00227224,well,366,HIGH (Requires Pollution Check)
AkHa00228224,well,310,HIGH (Requires Pollution Check)
AkHa00229224,well,278,HIGH (Requires Pollution Check)
AkHa00230224,tap_in_home,856,STANDARD
AkHa00231224,well,210,HIGH (Requires Pollution Check)
AkHa00232224,river,918,CRITICAL
AkHa00233224,tap_in_home_broken,610,CRITICAL
AkHa00234224,tap_in_home_broken,476,CRITICAL
AkHa00235224,well,208,HIGH (Requires Pollution Check)
AkHa00236224,shared_tap,2632,STANDARD
AkHa00237224,tap_in_home_broken,670,CRITICAL
AkHa00238224,well,174,HIGH (Requires Pollution Check)
AkHa00239224,well,162,HIGH (Requires Pollution Check)
AkHa00240224,tap_in_home,798,STANDARD
AkHa00241224,tap_in_home,754,STANDARD
AkHa00242224,well,378,HIGH (Requires Pollution Check)
AkHa00243224,well,316,HIGH (Requires Pollution Check)
AkHa00244224,well,352,HIGH (Requires Pollution Check)
AkHa00245224,tap_in_home,578,STANDARD
AkHa00246224,tap_in_home,714,STANDARD
AkHa00247224,well,252,HIGH (Requires Pollution Check)
AkHa00248224,river,442,CRITICAL
AkHa00249224,well,186,HIGH (Requires Pollution Check)
AkHa00250224,tap_in_home_broken,688,CRITICAL
AkHa00251224,shared_tap,2280,STANDARD
AkHa00252224,well,336,HIGH (Requires Pollution Check)
AkHa00253224,well,282,HIGH (Requires Pollution Check)
AkHa00254224,tap_in_home,514,STANDARD
AkHa00255224,well,258,HIGH (Requires Pollution Check)
AkHa00256224,tap_in_home_broken,706,CRITICAL
AkHa00257224,tap_in_home,512,STANDARD
AkHa00258224,tap_in_home,676,STANDARD
AkHa00259224,shared_tap,3866,STANDARD
AkHa00260224,tap_in_home,536,STANDARD
AkHa00261224,well,260,HIGH (Requires Pollution Check)
AkHa00262224,well,390,HIGH (Requires Pollution Check)
AkHa00263224,shared_tap,3456,STANDARD
AkHa00264224,tap_in_home,560,STANDARD
AkHa00265224,well,274,HIGH (Requires Pollution Check)
AkHa00266224,well,186,HIGH (Requires Pollution Check)
AkHa00267224,well,162,HIGH (Requires Pollution Check)
AkHa00268224,tap_in_home,940,STANDARD
AkHa00269224,tap_in_home_broken,334,CRITICAL
AkHa00270224,tap_in_home_broken,758,CRITICAL
AkHa00271224,well,210,HIGH (Requires Pollution Check)
AkHa00272224,tap_in_home_broken,360,CRITICAL
AkHa00273224,well,316,HIGH (Requires Pollution Check)
AkHa00274224,tap_in_home,790,STANDARD
AkHa00275224,tap_in_home,732,STANDARD
AkHa00276224,tap_in_home_broken,654,CRITICAL
AkHa00277224,tap_in_home_broken,914,CRITICAL
AkHa00278224,tap_in_home_broken,622,CRITICAL
AkHa00279224,tap_in_home_broken,670,CRITICAL
AkHa00280224,shared_tap,2754,STANDARD
AkHa00281224,tap_in_home,856,STANDARD
AkHa00282224,well,272,HIGH (Requires Pollution Check)
AkHa00283224,tap_in_home_broken,812,CRITICAL
AkHa00284224,well,322,HIGH (Requires Pollution Check)
AkHa00285224,well,388,HIGH (Requires Pollution Check)
AkHa00286224,well,182,HIGH (Requires Pollution Check)
AkHa00287224,tap_in_home_broken,842,CRITICAL
AkHa00288224,well,162,HIGH (Requires Pollution Check)
AkHa00289224,well,318,HIGH (Requires Pollution Check)
AkHa00290224,tap_in_home,320,STANDARD
AkHa00291224,shared_tap,1570,STANDARD
AkHa00292224,tap_in_home_broken,642,CRITICAL
AkHa00293224,well,202,HIGH (Requires Pollution Check)
AkHa00294224,well,302,HIGH (Requires Pollution Check)
AkHa00295224,well,230,HIGH (Requires Pollution Check)
AkHa00296224,well,312,HIGH (Requires Pollution Check)
AkHa00297224,tap_in_home,344,STANDARD
AkHa00298224,well,238,HIGH (Requires Pollution Check)
AkHa00299224,well,334,HIGH (Requires Pollution Check)
AkHa00300224,tap_in_home_broken,764,CRITICAL
AkHa00301224,tap_in_home_broken,484,CRITICAL
AkHa00302224,well,160,HIGH (Requires Pollution Check)
AkHa00303224,well,284,HIGH (Requires Pollution Check)
AkHa00304224,well,346,HIGH (Requires Pollution Check)
AkHa00305224,well,372,HIGH (Requires Pollution Check)
AkHa00306224,tap_in_home_broken,710,CRITICAL
AkHa00307224,well,398,HIGH (Requires Pollution Check)
AkHa00308224,tap_in_home_broken,934,CRITICAL
AkHa00309224,well,384,HIGH (Requires Pollution Check)
AkHa00310224,tap_in_home,498,STANDARD
AkHa00311224,tap_in_home_broken,422,CRITICAL
AkHa00312224,well,294,HIGH (Requires Pollution Check)
AkHa00313224,well,188,HIGH (Requires Pollution Check)
AkHa00314224,tap_in_home_broken,740,CRITICAL
AkHa00315224,tap_in_home_broken,542,CRITICAL
AkHa00316224,well,264,HIGH (Requires Pollution Check)
AkHa00317224,tap_in_home,850,STANDARD
AkHa00318224,well,240,HIGH (Requires Pollution Check)
AkHa00319224,well,394,HIGH (Requires Pollution Check)
AkHa00320224,shared_tap,3840,STANDARD
AkHa00321224,well,366,HIGH (Requires Pollution Check)
AkHa00322224,well,184,HIGH (Requires Pollution Check)
AkHa00323224,well,230,HIGH (Requires Pollution Check)
AkHa00324224,tap_in_home,426,STANDARD
AkHa00325224,well,298,HIGH (Requires Pollution Check)
AkHa00326224,well,308,HIGH (Requires Pollution Check)
AkHa00327224,tap_in_home,982,STANDARD
AkHa00328224,well,344,HIGH (Requires Pollution Check)
AkHa00329224,well,214,HIGH (Requires Pollution Check)
AkHa00330224,well,378,HIGH (Requires Pollution Check)
AkHa00331224,well,184,HIGH (Requires Pollution Check)
AkHa00332224,well,338,HIGH (Requires Pollution Check)
AkHa00333224,well,326,HIGH (Requires Pollution Check)
AkHa00334224,tap_in_home,356,STANDARD
AkHa00335224,well,300,HIGH (Requires Pollution Check)
AkHa00336224,well,192,HIGH (Requires Pollution Check)
AkHa00337224,well,262,HIGH (Requires Pollution Check)
AkHa00338224,well,386,HIGH (Requires Pollution Check)
AkHa00339224,tap_in_home_broken,784,CRITICAL
AkHa00340224,well,292,HIGH (Requires Pollution Check)
AkHa00341224,tap_in_home,508,STANDARD
AkHa00342224,tap_in_home,446,STANDARD
AkHa00343224,well,192,HIGH (Requires Pollution Check)
AkHa00344224,tap_in_home,354,STANDARD
AkHa00345224,tap_in_home_broken,552,CRITICAL
AkHa00346224,well,194,HIGH (Requires Pollution Check)
AkHa00347224,well,340,HIGH (Requires Pollution Check)
AkHa00348224,river,724,CRITICAL
AkHa00349224,well,340,HIGH (Requires Pollution Check)
AkHa00350224,tap_in_home_broken,574,CRITICAL
AkHa00351224,tap_in_home_broken,942,CRITICAL
AkHa00352224,tap_in_home_broken,376,CRITICAL
AkHa00353224,well,302,HIGH (Requires Pollution Check)
AkHa00354224,well,388,HIGH (Requires Pollution Check)
AkHa00355224,well,362,HIGH (Requires Pollution Check)
AkHa00356224,tap_in_home_broken,916,CRITICAL
AkHa00357224,tap_in_home,390,STANDARD
AkHa00358224,well,216,HIGH (Requires Pollution Check)
AkHa00359224,tap_in_home,468,STANDARD
AkHa00360224,tap_in_home,784,STANDARD
AkHa00361224,well,270,HIGH (Requires Pollution Check)
AkHa00362224,tap_in_home,386,STANDARD
AkHa00363224,river,600,CRITICAL
AkHa00364224,tap_in_home_broken,354,CRITICAL
AkHa00365224,tap_in_home,608,STANDARD
AkHa00366224,tap_in_home_broken,700,CRITICAL
AkHa00367224,well,292,HIGH (Requires Pollution Check)
AkHa00368224,tap_in_home_broken,844,CRITICAL
AkHa00369224,well,352,HIGH (Requires Pollution Check)
AkHa00370224,tap_in_home_broken,504,CRITICAL
AkHa00371224,well,302,HIGH (Requires Pollution Check)
AkHa00372224,well,196,HIGH (Requires Pollution Check)
AkHa00373224,shared_tap,2538,STANDARD
AkHa00374224,well,324,HIGH (Requires Pollution Check)
AkHa00375224,well,284,HIGH (Requires Pollution Check)
AkHa00376224,well,392,HIGH (Requires Pollution Check)
AkHa00377224,tap_in_home_broken,488,CRITICAL
AkHa00378224,tap_in_home_broken,304,CRITICAL
AkHa00379224,tap_in_home,648,STANDARD
AkHa00380224,well,322,HIGH (Requires Pollution Check)
AkHa00381224,tap_in_home_broken,970,CRITICAL
AkHa00382224,well,240,HIGH (Requires Pollution Check)
AkHa00383224,well,172,HIGH (Requires Pollution Check)
AkHa00384224,well,192,HIGH (Requires Pollution Check)
AkHa00385224,tap_in_home,910,STANDARD
AkHa00386224,tap_in_home_broken,458,CRITICAL
AkHa00387224,well,212,HIGH (Requires Pollution Check)
AkHa00388224,tap_in_home,516,STANDARD
AkHa00389224,well,330,HIGH (Requires Pollution Check)
AkHa00390224,tap_in_home_broken,884,CRITICAL
AkHa00391224,well,250,HIGH (Requires Pollution Check)
AkHa00392224,tap_in_home,778,STANDARD
AkHa00393224,tap_in_home,816,STANDARD
AkHa00394224,shared_tap,854,STANDARD
AkHa00395224,tap_in_home_broken,722,CRITICAL
AkHa00396224,well,254,HIGH (Requires Pollution Check)
AkHa00397224,tap_in_home,856,STANDARD
AkHa00398224,tap_in_home,718,STANDARD
AkHa00399224,tap_in_home_broken,756,CRITICAL
AkHa00400224,tap_in_home,976,STANDARD
AkHa00401224,well,352,HIGH (Requires Pollution Check)
AkHa00402224,tap_in_home_broken,358,CRITICAL
AkHa00403224,well,334,HIGH (Requires Pollution Check)
AkHa00404224,tap_in_home_broken,738,CRITICAL
AkHa00405224,well,220,HIGH (Requires Pollution Check)
AkHa00406224,well,334,HIGH (Requires Pollution Check)
AkHa00407224,well,296,HIGH (Requires Pollution Check)
AkHa00408224,well,378,HIGH (Requires Pollution Check)
AkHa00409224,well,196,HIGH (Requires Pollution Check)
AkHa00410224,well,356,HIGH (Requires Pollution Check)
AkHa00411224,well,182,HIGH (Requires Pollution Check)
AkHa00412224,tap_in_home_broken,758,CRITICAL
AkHa00413224,tap_in_home,482,STANDARD
AkHa00414224,well,242,HIGH (Requires Pollution Check)
AkHa00415224,tap_in_home,488,STANDARD
AkHa00416224,well,200,HIGH (Requires Pollution Check)
AkHa00417224,well,364,HIGH (Requires Pollution Check)
AkHa00418224,well,234,HIGH (Requires Pollution Check)
AkHa00419224,tap_in_home,964,STANDARD
AkHa00420224,well,168,HIGH (Requires Pollution Check)
AkHa00421224,well,296,HIGH (Requires Pollution Check)
AkHa00422224,well,186,HIGH (Requires Pollution Check)
AkHa00423224,tap_in_home_broken,526,CRITICAL
AkHa00424224,well,364,HIGH (Requires Pollution Check)
AkHa00425224,tap_in_home,872,STANDARD
AkHa00426224,tap_in_home,474,STANDARD
AkHa00427224,well,260,HIGH (Requires Pollution Check)
AkHa00428224,shared_tap,510,STANDARD
AkHa00429224,tap_in_home,706,STANDARD
AkHa00430224,tap_in_home,874,STANDARD
AkHa00431224,tap_in_home_broken,630,CRITICAL
AkHa00432224,tap_in_home,882,STANDARD
AkHa00433224,tap_in_home_broken,840,CRITICAL
AkHa00434224,tap_in_home_broken,328,CRITICAL
AkHa00435224,well,234,HIGH (Requires Pollution Check)
AkHa00436224,tap_in_home,600,STANDARD
AkHa00437224,tap_in_home,482,STANDARD
AkHa00438224,tap_in_home_broken,980,CRITICAL
AkHa00439224,tap_in_home_broken,948,CRITICAL
AkHa00440224,tap_in_home_broken,464,CRITICAL
AkHa00441224,well,210,HIGH (Requires Pollution Check)
AkHa00442224,well,386,HIGH (Requires Pollution Check)
AkHa00443224,tap_in_home,822,STANDARD
AkHa00444224,well,284,HIGH (Requires Pollution Check)
AkHa00445224,well,292,HIGH (Requires Pollution Check)
AkHa00446224,tap_in_home,838,STANDARD
AkHa00447224,well,244,HIGH (Requires Pollution Check)
AkHa00448224,tap_in_home_broken,812,CRITICAL
AkHa00449224,tap_in_home_broken,944,CRITICAL
AkHa00450224,tap_in_home,560,STANDARD
AkHa00451224,well,350,HIGH (Requires Pollution Check)
AkHa00452224,well,316,HIGH (Requires Pollution Check)
AkHa00453224,well,340,HIGH (Requires Pollution Check)
AkHa00454224,tap_in_home_broken,726,CRITICAL
AkHa00455224,well,196,HIGH (Requires Pollution Check)
AkHa00456224,well,394,HIGH (Requires Pollution Check)
AkHa00457224,well,216,HIGH (Requires Pollution Check)
AkHa00458224,well,292,HIGH (Requires Pollution Check)
AkHa00459224,well,256,HIGH (Requires Pollution Check)
AkHa00460224,shared_tap,2666,STANDARD
AkHa00461224,well,342,HIGH (Requires Pollution Check)
AkHa00462224,tap_in_home,986,STANDARD
AkHa00463224,well,304,HIGH (Requires Pollution Check)
AkHa00464224,tap_in_home,452,STANDARD
AkHa00465224,well,252,HIGH (Requires Pollution Check)
AkHa00466224,tap_in_home,904,STANDARD
AkHa00467224,well,274,HIGH (Requires Pollution Check)
AkHa00468224,well,274,HIGH (Requires Pollution Check)
AkHa00469224,well,386,HIGH (Requires Pollution Check)
AkHa00470224,well,332,HIGH (Requires Pollution Check)
AkHa00471224,tap_in_home_broken,498,CRITICAL
AkHa00472224,tap_in_home,828,STANDARD
AkHa00473224,well,288,HIGH (Requires Pollution Check)
AkHa00474224,tap_in_home_broken,820,CRITICAL
AkHa00475224,tap_in_home,756,STANDARD
AkHa00476224,well,362,HIGH (Requires Pollution Check)
AkHa00477224,well,272,HIGH (Requires Pollution Check)
AkHa00478224,well,164,HIGH (Requires Pollution Check)
AkHa00479224,tap_in_home_broken,778,CRITICAL
AkHa00480224,tap_in_home,904,STANDARD
AkHa00481224,tap_in_home,460,STANDARD
AkHa00482224,tap_in_home_broken,670,CRITICAL
AkHa00483224,well,244,HIGH (Requires Pollution Check)
AkHa00484224,well,272,HIGH (Requires Pollution Check)
AkHa00485224,tap_in_home_broken,806,CRITICAL
AkHa00486224,well,242,HIGH (Requires Pollution Check)
AkHa00487224,well,344,HIGH (Requires Pollution Check)
AkHa00488224,tap_in_home_broken,800,CRITICAL
AkHa00489224,well,370,HIGH (Requires Pollution Check)
AkHa00490224,tap_in_home,542,STANDARD
AkHa00491224,well,202,HIGH (Requires Pollution Check)
AkHa00492224,tap_in_home,506,STANDARD
AkHa00493224,tap_in_home,518,STANDARD
AkHa00494224,tap_in_home,924,STANDARD
AkHa00495224,well,390,HIGH (Requires Pollution Check)
AkHa00496224,well,334,HIGH (Requires Pollution Check)
AkHa00497224,tap_in_home_broken,816,CRITICAL
AkHa00498224,tap_in_home,924,STANDARD
AkHa00499224,tap_in_home,718,STANDARD
AkHa00500224,tap_in_home_broken,732,CRITICAL
AkHa00501224,well,202,HIGH (Requires Pollution Check)
AkHa00502224,river,842,CRITICAL
AkHa00503224,well,336,HIGH (Requires Pollution Check)
AkHa00504224,tap_in_home,392,STANDARD
AkHa00505224,well,322,HIGH (Requires Pollution Check)
AkHa00506224,well,192,HIGH (Requires Pollution Check)
AkHa00507224,tap_in_home_broken,408,CRITICAL
AkHa00508224,tap_in_home_broken,990,CRITICAL
AkHa00509224,well,196,HIGH (Requires Pollution Check)
AkHa00510224,well,368,HIGH (Requires Pollution Check)
AkHa00511224,well,186,HIGH (Requires Pollution Check)
AkHa00512224,tap_in_home,418,STANDARD
AkHa00513224,well,166,HIGH (Requires Pollution Check)
AkHa00514224,well,336,HIGH (Requires Pollution Check)
AkHa00515224,tap_in_home_broken,408,CRITICAL
AkHa00516224,well,308,HIGH (Requires Pollution Check)
AkHa00517224,well,290,HIGH (Requires Pollution Check)
AkHa00518224,tap_in_home_broken,654,CRITICAL
AkHa00519224,tap_in_home,522,STANDARD
AkHa00520224,well,214,HIGH (Requires Pollution Check)
AkHa00521224,well,184,HIGH (Requires Pollution Check)
AkHa00522224,well,252,HIGH (Requires Pollution Check)
AkHa00523224,tap_in_home,618,STANDARD
AkHa00524224,tap_in_home,382,STANDARD
AkHa00525224,well,160,HIGH (Requires Pollution Check)
AkHa00526224,tap_in_home_broken,628,CRITICAL
AkHa00527224,river,406,CRITICAL
AkHa00528224,well,342,HIGH (Requires Pollution Check)
