project_id,source_id,address,town,province,source_type,improvement,source_status,date_of_completion,comments
42,AmRu15398224,47 Ziwa La Machweo Avenue,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
43,HaDe16499224,95 Ndege Tambo Road,Deka,Hawassa,well,Install UV and RO filter,Backlog,,
44,SoRu39347224,2 Isicathamiya Avenue,Rural,Sokoto,well,Install RO filter,Backlog,,
45,HaRu17247224,9 Savannah Grove,Rural,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
46,AkRu04602224,34 Marrakech Avenue,Rural,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
47,KiMr25211224,147 Afrobeats Street,Mrembo,Kilimani,shared_tap,Install 4 taps nearby,Backlog,,
48,AkRu07283224,11 Ukingo Wa Jua Street,Rural,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
49,SoCh32247224,66 Mali Avenue,Cheche,Sokoto,well,Install RO filter,Backlog,,
50,SoIl32868224,129 Cape Verde Street,Ilanga,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
51,SoKo33558224,157 Mlima Wa Hekima Street,Kofi,Sokoto,river,Drill well,Backlog,,
52,HaRu20738224,139 Tuku Street,Rural,Hawassa,well,Install UV and RO filter,Backlog,,
53,AkLu02115224,116 Kumasi Street,Lusaka,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
54,HaAm16229224,112 Kifaru Lumumba Road,Amina,Hawassa,well,Install RO filter,Backlog,,
55,HaRu20104224,172 Milima Kali Street,Rural,Hawassa,well,Install RO filter,Backlog,,
56,SoRu37081224,79 Nelson Mandela Street,Rural,Sokoto,river,Drill well,Backlog,,
57,KiRu27870224,42 Haile Selassie Avenue,Rural,Kilimani,well,Install UV and RO filter,Backlog,,
58,AkRu03074224,19 Swahili Grove,Rural,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
59,SoRu37178224,188 Nelson Mandela Street,Rural,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
60,SoRu38743224,45 Mto Wa Ukarimu Street,Rural,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
61,AkRu04162224,150 Victoria Street,Rural,Akatsi,river,Drill well,Backlog,,
62,HaDj16798224,84 Durban Road,Djenne,Hawassa,well,Install RO filter,Backlog,,
63,HaSe21113224,58 Fes Boulevard,Serowe,Hawassa,river,Drill well,Backlog,,
64,AmAm09513224,178 Lumumba Lane,Amina,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
65,AmPw12464224,190 Jengo Street,Pwani,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
66,AmRu15067224,61 Mto Maridadi Avenue,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
67,HaRu20701224,171 Tuku Street,Rural,Hawassa,well,Install UV and RO filter,Backlog,,
68,AmRu13095224,38 Cairo Road,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
69,AkRu08936224,103 Ladysmith Black Street,Rural,Akatsi,well,Install UV and RO filter,Backlog,,
70,KiAm22120224,192 Lome Street,Amara,Kilimani,well,Install UV and RO filter,Backlog,,
71,AkRu03143224,47 Asmara Boulevard,Rural,Akatsi,well,Install RO filter,Backlog,,
72,SoRu34762224,12 Simba Road,Rural,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
73,AkRu03586224,4 Koinange Street,Rural,Akatsi,well,Install UV and RO filter,Backlog,,
74,AmRu13188224,6 Hurghada Street,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
75,SoRu35195224,59 Kenyatta Avenue,Rural,Sokoto,river,Drill well,Backlog,,
76,AmAm09743224,60 Zamajobe Avenue,Amina,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
77,KiZu30889224,150 Yaounde Street,Zuri,Kilimani,shared_tap,Install 8 taps nearby,Backlog,,
78,KiRu30163224,160 Burna Boy Street,Rural,Kilimani,well,Install RO filter,Backlog,,
79,KiIs23671224,41 Dodoma Drive,Isiqalo,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
80,HaAm15937224,40 Garang Street,Amina,Hawassa,shared_tap,Install 1 taps nearby,Backlog,,
81,HaSe20900224,26 Pygmy Trail,Serowe,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
82,AmRu14190224,120 Zinjathropus Street,Rural,Amanzi,well,Install RO filter,Backlog,,
83,SoBa31893224,84 Chura Usman Street,Bahari,Sokoto,river,Drill well,Backlog,,
84,KiRu26584224,34 Praia Avenue,Rural,Kilimani,well,Install UV and RO filter,Backlog,,
85,AkRu08557224,26 African Skies Street,Rural,Akatsi,shared_tap,Install 4 taps nearby,Backlog,,
86,AkRu07845224,173 Maji Mema Street,Rural,Akatsi,well,Install RO filter,Backlog,,
87,AmAm09460224,7 Accra Avenue,Amina,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
88,KiMr25146224,18 Afrobeats Street,Mrembo,Kilimani,well,Install RO filter,Backlog,,
89,AkRu05911224,92 Mbeki Street,Rural,Akatsi,shared_tap,Install 4 taps nearby,Backlog,,
90,HaRu20767224,160 Tuku Street,Rural,Hawassa,well,Install RO filter,Backlog,,
91,KiRu26837224,65 N'Djamena Road,Rural,Kilimani,well,Install RO filter,Backlog,,
92,AmRu13229224,195 Hurghada Street,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
93,AkRu04918224,99 Bissau Street,Rural,Akatsi,well,Install RO filter,Backlog,,
94,KiRu25866224,49 Kudu Square,Rural,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
95,SoRu36745224,140 Kamuzu Banda Road,Rural,Sokoto,river,Drill well,Backlog,,
96,KiRu28471224,68 Sungura Amanpour Road,Rural,Kilimani,well,Install RO filter,Backlog,,
97,AmAb09243224,13 Fela Kuti Drive,Abidjan,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
98,AkRu07713224,52 Ukingo Wa Mto Road,Rural,Akatsi,well,Install RO filter,Backlog,,
99,AmAs10139224,64 Tembo Road,Asmara,Amanzi,river,Drill well,Backlog,,
100,HaRu19111224,109 Winnie Mandela Street,Rural,Hawassa,shared_tap,Install 1 taps nearby,Backlog,,
101,AmAm09421224,18 Accra Avenue,Amina,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
102,AkRu04611224,38 Marrakech Avenue,Rural,Akatsi,shared_tap,Install 5 taps nearby,Backlog,,
103,KiRu28064224,35 Duma Leakey Road,Rural,Kilimani,river,Drill well,Backlog,,
104,SoRu37761224,62 Kuku Kenyatta Road,Rural,Sokoto,river,Drill well,Backlog,,
105,SoRu35485224,77 Monrovia Street,Rural,Sokoto,shared_tap,Install 1 taps nearby,Backlog,,
106,AmRu14641224,50 Nyama Choma Street,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
107,AmRu13013224,150 Cairo Road,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
108,KiRu25465224,40 Uhuru Square,Rural,Kilimani,well,Install UV and RO filter,Backlog,,
109,AkRu07262224,20 Ukingo Wa Jua Street,Rural,Akatsi,well,Install RO filter,Backlog,,
110,AmRu13090224,106 Cairo Road,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
111,HaRu17749224,47 Tunis Road,Rural,Hawassa,well,Install RO filter,Backlog,,
112,AkRu07933224,1 Maji Mema Street,Rural,Akatsi,well,Install UV and RO filter,Backlog,,
113,HaDe16434224,142 Ndege Tambo Road,Deka,Hawassa,well,Install UV and RO filter,Backlog,,
114,AkRu03750224,78 Lumumba Street,Rural,Akatsi,river,Drill well,Backlog,,
115,AmRu14536224,121 Desmond Tutu Road,Rural,Amanzi,shared_tap,Install 5 taps nearby,Backlog,,
116,AmRu13929224,52 Timbuktu Road,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
117,AkKi01036224,92 Tunis Street,Kintampo,Akatsi,well,Install RO filter,Backlog,,
118,AkHa00545224,131 Yvonne Chaka Street,Harare,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
119,HaDe16565224,77 Yvonne Chaka Road,Deka,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
120,SoRu37469224,124 Soko Soyinka Road,Rural,Sokoto,well,Install RO filter,Backlog,,
121,AkRu05768224,78 Ramaphosa Road,Rural,Akatsi,well,Install RO filter,Backlog,,
122,HaSe21258224,37 Afro Beat Road,Serowe,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
123,KiMr24871224,2 Mlima Wa Matumaini Street,Mrembo,Kilimani,well,Install RO filter,Backlog,,
124,SoRu37832224,61 Kuku Kenyatta Road,Rural,Sokoto,well,Install UV and RO filter,Backlog,,
125,KiRu29268224,87 Bahari Ya Faraja Road,Rural,Kilimani,well,Install RO filter,Backlog,,
126,KiMr25057224,178 Afrobeats Street,Mrembo,Kilimani,well,Install UV and RO filter,Backlog,,
127,KiZu31261224,11 Conakry Street,Zuri,Kilimani,well,Install RO filter,Backlog,,
128,HaRu19199224,179 Kiboko Nkrumah Lane,Rural,Hawassa,well,Install RO filter,Backlog,,
129,KiRu29696224,148 Ziwa La Upendo Street,Rural,Kilimani,well,Install RO filter,Backlog,,
130,SoRu35819224,149 Mombasa Road,Rural,Sokoto,shared_tap,Install 8 taps nearby,Backlog,,
131,KiRu29941224,37 Special Star Road,Rural,Kilimani,shared_tap,Install 8 taps nearby,Backlog,,
132,KiRu27423224,55 Kaduna Road,Rural,Kilimani,well,Install UV and RO filter,Backlog,,
133,HaRu18078224,27 Bamenda Boulevard,Rural,Hawassa,well,Install RO filter,Backlog,,
134,AmDa11812224,51 Nyoka Achebe Street,Dahabu,Amanzi,shared_tap,Install 1 taps nearby,Backlog,,
135,KiZu31061224,100 Yaounde Street,Zuri,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
136,AkHa00555224,181 Yvonne Chaka Street,Harare,Akatsi,well,Install RO filter,Backlog,,
137,KiRu29471224,152 Bahari Nyeupe Street,Rural,Kilimani,shared_tap,Install 3 taps nearby,Backlog,,
138,AkRu03181224,35 Kigali Place,Rural,Akatsi,well,Install RO filter,Backlog,,
139,SoRu35782224,127 Mombasa Road,Rural,Sokoto,well,Install RO filter,Backlog,,
140,KiRu25626224,26 Kitale Drive,Rural,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
141,SoBa31799224,132 Chura Usman Street,Bahari,Sokoto,well,Install UV and RO filter,Backlog,,
142,SoKo33085224,18 Akili Parkway,Kofi,Sokoto,well,Install UV and RO filter,Backlog,,
143,SoRu36310224,139 Casablanca Road,Rural,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
144,KiMr25119224,152 Afrobeats Street,Mrembo,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
145,KiRu27509224,47 Soyinka Boulevard,Rural,Kilimani,shared_tap,Install 4 taps nearby,Backlog,,
146,AkRu06489224,180 Popo Kamuzu Street,Rural,Akatsi,well,Install UV and RO filter,Backlog,,
147,AmPw12284224,19 Zuri Place,Pwani,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
148,KiRu27553224,68 Amanpour Avenue,Rural,Kilimani,well,Install RO filter,Backlog,,
149,AmAs10336224,136 Eto'o Street,Asmara,Amanzi,shared_tap,Install 3 taps nearby,Backlog,,
150,AkKi01340224,21 Zambezi Street,Kintampo,Akatsi,well,Install RO filter,Backlog,,
151,HaRu17566224,15 Constantine Road,Rural,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
152,AmAm09372224,58 Zambezi Way,Amina,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
153,AmAm09503224,107 Lumumba Lane,Amina,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
154,AkRu03495224,75 Koinange Street,Rural,Akatsi,shared_tap,Install 4 taps nearby,Backlog,,
155,SoRu35868224,145 Mombasa Road,Rural,Sokoto,well,Install UV and RO filter,Backlog,,
156,KiRu26516224,32 Alexandria Avenue,Rural,Kilimani,well,Install RO filter,Backlog,,
157,HaRu19054224,180 Winnie Mandela Street,Rural,Hawassa,well,Install RO filter,Backlog,,
158,AkRu06446224,151 Punda Kagame Street,Rural,Akatsi,well,Install RO filter,Backlog,,
159,AkHa00720224,143 Yvonne Chaka Street,Harare,Akatsi,well,Install RO filter,Backlog,,
160,HaRu17250224,3 Savannah Grove,Rural,Hawassa,well,Install RO filter,Backlog,,
161,KiRu29735224,96 Ziwa La Upendo Street,Rural,Kilimani,well,Install RO filter,Backlog,,
162,HaRu18169224,25 Djibouti Drive,Rural,Hawassa,well,Install RO filter,Backlog,,
163,AkLu02126224,63 Kumasi Street,Lusaka,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
164,KiRu27964224,128 Duma Leakey Road,Rural,Kilimani,river,Drill well,Backlog,,
165,AkLu01843224,176 Lilongwe Street,Lusaka,Akatsi,well,Install UV and RO filter,Backlog,,
166,KiZu31025224,106 Yaounde Street,Zuri,Kilimani,well,Install UV and RO filter,Backlog,,
167,KiAm22569224,100 Bahari Ya Upendo Road,Amara,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
168,AmRu14860224,47 Achebe Kifaru Drive,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
169,HaRu17281224,42 Tangier Terrace,Rural,Hawassa,well,Install UV and RO filter,Backlog,,
170,AmAb09051224,135 Kinshasa Road,Abidjan,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
171,SoMa34088224,52 Yaya Tour̩ Lane,Majengo,Sokoto,shared_tap,Install 4 taps nearby,Backlog,,
172,AkRu07378224,147 Ukingo Wa Jua Street,Rural,Akatsi,well,Install UV and RO filter,Backlog,,
173,HaAm16288224,13 Ziwa La Kutazama Avenue,Amina,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
174,AmAb09174224,26 Patrice Lumumba Drive,Abidjan,Amanzi,well,Install UV and RO filter,Backlog,,
175,SoRu38429224,87 Pwani Ya Joto Road,Rural,Sokoto,river,Drill well,Backlog,,
176,SoRu37790224,75 Kuku Kenyatta Road,Rural,Sokoto,river,Drill well,Backlog,,
177,KiHa23382224,71 Samora Machel Road,Harare,Kilimani,well,Install RO filter,Backlog,,
178,HaDe16509224,91 Ndege Tambo Road,Deka,Hawassa,well,Install UV and RO filter,Backlog,,
179,KiHa22644224,64 Tripoli Street,Harare,Kilimani,well,Install UV and RO filter,Backlog,,
180,AmAs10534224,64 Nadi Kijani Lane,Asmara,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
181,HaRu19788224,5 Chanzo Cha Furaha Road,Rural,Hawassa,well,Install UV and RO filter,Backlog,,
182,HaYa21569224,24 Wangari Maathai Avenue,Yaounde,Hawassa,well,Install RO filter,Backlog,,
183,KiRu27352224,38 Kaduna Road,Rural,Kilimani,river,Drill well,Backlog,,
184,AmRu14187224,154 Zinjathropus Street,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
185,AmRu14687224,11 Nyama Choma Street,Rural,Amanzi,shared_tap,Install 1 taps nearby,Backlog,,
186,KiRu28027224,91 Duma Leakey Road,Rural,Kilimani,well,Install RO filter,Backlog,,
187,HaAm16131224,110 Kifaru Lumumba Road,Amina,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
188,KiIs24000224,139 Farasi Makeba Street,Isiqalo,Kilimani,well,Install UV and RO filter,Backlog,,
189,KiRu28560224,52 Sungura Amanpour Road,Rural,Kilimani,well,Install UV and RO filter,Backlog,,
190,AmRu13978224,114 Timbuktu Road,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
191,SoMa34255224,65 Freetown Road,Marang,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
192,SoRu37541224,30 Mwewe Kagame Drive,Rural,Sokoto,shared_tap,Install 6 taps nearby,Backlog,,
193,SoRu38539224,19 Pwani Ya Joto Road,Rural,Sokoto,well,Install RO filter,Backlog,,
194,SoKo33099224,27 Akili Parkway,Kofi,Sokoto,well,Install UV and RO filter,Backlog,,
195,KiZu31161224,123 Conakry Street,Zuri,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
196,HaSe21080224,17 Fes Boulevard,Serowe,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
197,SoRu36015224,183 Seychelles Street,Rural,Sokoto,well,Install UV and RO filter,Backlog,,
198,HaAm15979224,80 Garang Street,Amina,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
199,AkRu07777224,130 Ukingo Wa Mto Road,Rural,Akatsi,well,Install RO filter,Backlog,,
200,HaRu17991224,42 Lubumbashi Lane,Rural,Hawassa,shared_tap,Install 8 taps nearby,Backlog,,
201,KiMr25237224,37 Afrobeats Street,Mrembo,Kilimani,well,Install UV and RO filter,Backlog,,
202,AkRu07962224,197 Maji Mema Street,Rural,Akatsi,river,Drill well,Backlog,,
203,KiRu27581224,11 Amanpour Avenue,Rural,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
204,KiAm22506224,71 Bahari Ya Upendo Road,Amara,Kilimani,well,Install UV and RO filter,Backlog,,
205,AkRu03824224,157 Lumumba Street,Rural,Akatsi,well,Install RO filter,Backlog,,
206,HaAm16117224,105 Kifaru Lumumba Road,Amina,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
207,HaDj16669224,22 Durban Road,Djenne,Hawassa,well,Install RO filter,Backlog,,
208,SoRu38418224,65 Pwani Ya Joto Road,Rural,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
209,KiMr24959224,61 Mlima Wa Matumaini Street,Mrembo,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
210,KiAm22029224,6 Lome Street,Amara,Kilimani,well,Install UV and RO filter,Backlog,,
211,AmPw12493224,33 Jengo Street,Pwani,Amanzi,shared_tap,Install 1 taps nearby,Backlog,,
212,AkLu02631224,80 Papa Wemba Road,Lusaka,Akatsi,well,Install UV and RO filter,Backlog,,
213,SoCh31950224,42 Bamako Road,Cheche,Sokoto,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
214,SoKo33117224,53 Biko Avenue,Kofi,Sokoto,well,Install UV and RO filter,Backlog,,
215,AmDa12215224,64 Ang̩lique Kidjo Avenue,Dahabu,Amanzi,well,Install RO filter,Backlog,,
216,SoRu37830224,108 Kuku Kenyatta Road,Rural,Sokoto,river,Drill well,Backlog,,
217,AmRu14093224,27 Senghor Way,Rural,Amanzi,well,Install RO filter,Backlog,,
218,AmAs10742224,147 Jangwa La Fisi Street,Asmara,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
219,AmPw12629224,56 Lagos Street,Pwani,Amanzi,river,Drill well,Backlog,,
220,SoIl32783224,82 Bahari Tamu Road,Ilanga,Sokoto,well,Install UV and RO filter,Backlog,,
221,AkRu05733224,12 Ramaphosa Road,Rural,Akatsi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
222,KiAm22435224,31 Bahari Ya Kupendeza Drive,Amara,Kilimani,well,Install UV and RO filter,Backlog,,
223,HaRu19447224,104 Mnyama Dangote Road,Rural,Hawassa,shared_tap,Install 1 taps nearby,Backlog,,
224,SoRu39284224,26 Shakira Drive,Rural,Sokoto,well,Install RO filter,Backlog,,
225,KiIs24167224,18 Kiboko Senghor Road,Isiqalo,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
226,HaRu20784224,198 Tuku Street,Rural,Hawassa,shared_tap,Install 7 taps nearby,Backlog,,
227,AkLu01927224,46 Lilongwe Street,Lusaka,Akatsi,shared_tap,Install 1 taps nearby,Backlog,,
228,SoRu39059224,22 Youssou N'Dour Road,Rural,Sokoto,well,Install UV and RO filter,Backlog,,
229,AmRu14320224,20 Julius Nyerere Drive,Rural,Amanzi,well,Install RO filter,Backlog,,
230,HaYa21472224,115 Okapi Road,Yaounde,Hawassa,well,Install RO filter,Backlog,,
231,SoRu39061224,146 Youssou N'Dour Road,Rural,Sokoto,shared_tap,Install 1 taps nearby,Backlog,,
232,HaRu18653224,67 Amin Road,Rural,Hawassa,well,Install RO filter,Backlog,,
233,AmRu14184224,88 Zinjathropus Street,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
234,KiRu26552224,14 Praia Avenue,Rural,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
235,HaRu18008224,13 Lubumbashi Lane,Rural,Hawassa,shared_tap,Install 1 taps nearby,Backlog,,
236,SoRu37764224,89 Kuku Kenyatta Road,Rural,Sokoto,well,Install RO filter,Backlog,,
237,AmRu15874224,119 African Queen Road,Rural,Amanzi,well,Install RO filter,Backlog,,
238,HaRu18534224,179 Kano Street,Rural,Hawassa,well,Install RO filter,Backlog,,
239,KiRu30250224,28 Afro Blue Drive,Rural,Kilimani,well,Install UV and RO filter,Backlog,,
240,KiHa23140224,150 Port Said Street,Harare,Kilimani,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
241,AkRu05653224,5 Ramaphosa Road,Rural,Akatsi,well,Install RO filter,Backlog,,
242,SoRu35083224,9 Lusaka Circle,Rural,Sokoto,shared_tap,Install 8 taps nearby,Backlog,,
243,HaRu17929224,1 Lubumbashi Lane,Rural,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
244,KiIs24201224,98 Kiboko Senghor Road,Isiqalo,Kilimani,well,Install UV and RO filter,Backlog,,
245,AmRu15092224,4 Mto Maridadi Avenue,Rural,Amanzi,shared_tap,Install 1 taps nearby,Backlog,,
246,SoIl32316224,6 Rift Valley Rise,Ilanga,Sokoto,well,Install RO filter,Backlog,,
247,AmRu14855224,19 Achebe Kifaru Drive,Rural,Amanzi,well,Install RO filter,Backlog,,
248,HaRu20229224,48 Malaika Drive,Rural,Hawassa,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
249,SoRu38011224,67 Paka Dangote Street,Rural,Sokoto,well,Install UV and RO filter,Backlog,,
250,HaRu18786224,44 Khama Avenue,Rural,Hawassa,river,Drill well,Backlog,,
251,AmAm09412224,46 Accra Avenue,Amina,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
252,AkRu04809224,21 Giza Street,Rural,Akatsi,shared_tap,Install 1 taps nearby,Backlog,,
253,KiAm22595224,150 Bahari Ya Upendo Road,Amara,Kilimani,well,Install UV and RO filter,Backlog,,
254,AmRu14140224,162 Zinjathropus Street,Rural,Amanzi,tap_in_home_broken,Diagnose local infrastructure,Backlog,,
255,HaRu20399224,97 Johnny Street,Rural,Hawassa,well,Install RO filter,Backlog,,
256,KiZu31396224,61 Mto Wa Maji Avenue,Zuri,Kilimani,river,Drill well,Backlog,,
257,SoRu35787224,2 Mombasa Road,Rural,Sokoto,well,Install RO filter,Backlog,,
258,KiRu27475224,114 Kaduna Road,Rural,Kilimani,well,Install RO filter,Backlog,,
259,AkRu07600224,109 Mto Wa Furaha Road,Rural,Akatsi,shared_tap,Install 1 taps nearby,Backlog,,
260,HaRu20112224,125 Milima Kali Street,Rural,Hawassa,shared_tap,Install 2 taps nearby,Backlog,,
